request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_43,43339000,affordable_with_plan,installments,2024-09-14:2435239.05|2024-10-12:2435239.05|2024-11-09:2435239.05|2024-12-07:2435239.05|2025-01-04:2435239.05|2025-02-01:2435239.05|2025-03-01:2435239.05|2025-03-29:2435239.05|2025-04-26:2435239.05|2025-05-24:2435239.05|2025-06-21:2435239.05|2025-07-19:2435239.05|2025-08-16:2435239.05|2025-09-13:2435239.05|2025-10-11:2435239.05|2025-11-08:2435239.05|2025-12-06:2435239.05|2026-01-03:2435239.05|2026-01-31:2435239.05|2026-02-28:2435239.05|2026-03-28:2435239.05,2024-11-15,none,Use installments starting 2024-09-14.
request_44,95800,affordable_with_plan,installments,2025-02-18:7025.33|2025-03-20:7025.33|2025-04-19:7025.33|2025-05-19:7025.33|2025-06-18:7025.33|2025-07-18:7025.33|2025-08-17:7025.33|2025-09-16:7025.33|2025-10-16:7025.33|2025-11-15:7025.33|2025-12-15:7025.33|2026-01-14:7025.33|2026-02-13:7025.33|2026-03-15:7025.33|2026-04-14:7025.33,2025-04-15,none,Use installments starting 2025-02-18.
request_45,21983000,affordable_with_plan,installments,2026-07-06:1392256.67|2026-08-06:1392256.67|2026-09-06:1392256.67|2026-10-07:1392256.67|2026-11-07:1392256.67|2026-12-08:1392256.67|2027-01-08:1392256.67|2027-02-08:1392256.67|2027-03-11:1392256.67|2027-04-11:1392256.67|2027-05-12:1392256.67|2027-06-12:1392256.67|2027-07-13:1392256.67|2027-08-13:1392256.67|2027-09-13:1392256.67|2027-10-14:1392256.67|2027-11-14:1392256.67|2027-12-15:1392256.67,2026-09-15,none,Use installments starting 2026-07-06.
request_46,49450,affordable_now,full_payment,2024-12-03:49450,2024-12-03,none,Pay INR 49450 today.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Pay IDR 38114000 today.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 today.
request_49,34333000,affordable_with_plan,installments,2024-03-04:1929187.62|2024-04-01:1929187.62|2024-04-29:1929187.62|2024-05-27:1929187.62|2024-06-24:1929187.62|2024-07-22:1929187.62|2024-08-19:1929187.62|2024-09-16:1929187.62|2024-10-14:1929187.62|2024-11-11:1929187.62|2024-12-09:1929187.62|2025-01-06:1929187.62|2025-02-03:1929187.62|2025-03-03:1929187.62|2025-03-31:1929187.62|2025-04-28:1929187.62|2025-05-26:1929187.62|2025-06-23:1929187.62|2025-07-21:1929187.62|2025-08-18:1929187.62|2025-09-15:1929187.62,2024-05-22,none,Use installments starting 2024-03-04.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 today.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today.
request_52,28870,affordable_now,full_payment,2024-06-05:28870,2024-06-05,none,Pay INR 28870 today.
request_53,1699.20,affordable_with_plan,installments,2025-11-07:124.61|2025-12-07:124.61|2026-01-06:124.61|2026-02-05:124.61|2026-03-07:124.61|2026-04-06:124.61|2026-05-06:124.61|2026-06-05:124.61|2026-07-05:124.61|2026-08-04:124.61|2026-09-03:124.61|2026-10-03:124.61|2026-11-02:124.61|2026-12-02:124.61|2027-01-01:124.61,2026-01-20,none,Use installments starting 2025-11-07.
request_54,121528,affordable_later,wait,2026-08-21:121528,2026-08-21,none,Pay in full on 2026-08-21.
request_55,218600,affordable_with_plan,installments,2026-06-15:12283.24|2026-07-13:12283.24|2026-08-10:12283.24|2026-09-07:12283.24|2026-10-05:12283.24|2026-11-02:12283.24|2026-11-30:12283.24|2026-12-28:12283.24|2027-01-25:12283.24|2027-02-22:12283.24|2027-03-22:12283.24|2027-04-19:12283.24|2027-05-17:12283.24|2027-06-14:12283.24|2027-07-12:12283.24|2027-08-09:12283.24|2027-09-06:12283.24|2027-10-04:12283.24|2027-11-01:12283.24|2027-11-29:12283.24|2027-12-27:12283.24,2026-08-22,none,Use installments starting 2026-06-15.
request_56,881.56,affordable_now,full_payment,2025-02-03:881.56,2025-02-03,none,Pay USD 881.56 today.
request_57,61446,affordable_with_plan,installments,2026-04-05:3891.58|2026-05-06:3891.58|2026-06-06:3891.58|2026-07-07:3891.58|2026-08-07:3891.58|2026-09-07:3891.58|2026-10-08:3891.58|2026-11-08:3891.58|2026-12-09:3891.58|2027-01-09:3891.58|2027-02-09:3891.58|2027-03-12:3891.58|2027-04-12:3891.58|2027-05-13:3891.58|2027-06-13:3891.58|2027-07-14:3891.58|2027-08-14:3891.58|2027-09-14:3891.58,2026-06-15,none,Use installments starting 2026-04-05.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay IDR 16226000 today.
request_59,140600,affordable_now,full_payment,2025-05-04:140600,2025-05-04,none,Pay INR 140600 today.
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Pay USD 199.89 today.
request_61,29062,affordable_now,full_payment,2024-03-03:29062,2024-03-03,none,Pay ZAR 29062 today.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today.
request_63,343900,affordable_with_plan,installments,2026-07-14:21780.33|2026-08-14:21780.33|2026-09-14:21780.33|2026-10-15:21780.33|2026-11-15:21780.33|2026-12-16:21780.33|2027-01-16:21780.33|2027-02-16:21780.33|2027-03-19:21780.33|2027-04-19:21780.33|2027-05-20:21780.33|2027-06-20:21780.33|2027-07-21:21780.33|2027-08-21:21780.33|2027-09-21:21780.33|2027-10-22:21780.33|2027-11-22:21780.33|2027-12-23:21780.33,2026-09-17,none,Use installments starting 2026-07-14.
request_64,63700,affordable_later,wait,2024-08-16:63700,2024-08-16,none,Pay in full on 2024-08-16.
request_65,54340,affordable_later,wait,2025-11-25:54340,2025-11-25,none,Pay in full on 2025-11-25.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today.
request_67,2094,affordable_with_plan,installments,2024-09-12:117.66|2024-10-10:117.66|2024-11-07:117.66|2024-12-05:117.66|2025-01-02:117.66|2025-01-30:117.66|2025-02-27:117.66|2025-03-27:117.66|2025-04-24:117.66|2025-05-22:117.66|2025-06-19:117.66|2025-07-17:117.66|2025-08-14:117.66|2025-09-11:117.66|2025-10-09:117.66|2025-11-06:117.66|2025-12-04:117.66|2026-01-01:117.66|2026-01-29:117.66|2026-02-26:117.66|2026-03-26:117.66,2024-11-15,none,Use installments starting 2024-09-12.
request_68,2091.60,affordable_now,full_payment,2025-02-07:2091.60,2025-02-07,none,Pay USD 2091.60 today.
request_69,529.10,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today.
request_70,243900,affordable_with_plan,installments,2024-12-09:13704.86|2025-01-06:13704.86|2025-02-03:13704.86|2025-03-03:13704.86|2025-03-31:13704.86|2025-04-28:13704.86|2025-05-26:13704.86|2025-06-23:13704.86|2025-07-21:13704.86|2025-08-18:13704.86|2025-09-15:13704.86|2025-10-13:13704.86|2025-11-10:13704.86|2025-12-08:13704.86|2026-01-05:13704.86|2026-02-02:13704.86|2026-03-02:13704.86|2026-03-30:13704.86|2026-04-27:13704.86|2026-05-25:13704.86|2026-06-22:13704.86,2025-02-15,none,Use installments starting 2024-12-09.
request_71,21451000,affordable_with_plan,installments,2025-05-10:1573073.33|2025-06-09:1573073.33|2025-07-09:1573073.33|2025-08-08:1573073.33|2025-09-07:1573073.33|2025-10-07:1573073.33|2025-11-06:1573073.33|2025-12-06:1573073.33|2026-01-05:1573073.33|2026-02-04:1573073.33|2026-03-06:1573073.33|2026-04-05:1573073.33|2026-05-05:1573073.33|2026-06-04:1573073.33|2026-07-04:1573073.33,2025-05-28,none,Use installments starting 2025-05-10.
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Pay ZAR 11330 today.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400 today.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 today.
request_75,28270,affordable_now,full_payment,2026-04-06:28270,2026-04-06,none,Pay ZAR 28270 today.
request_76,4455.60,affordable_with_plan,installments,2024-06-17:250.36|2024-07-15:250.36|2024-08-12:250.36|2024-09-09:250.36|2024-10-07:250.36|2024-11-04:250.36|2024-12-02:250.36|2024-12-30:250.36|2025-01-27:250.36|2025-02-24:250.36|2025-03-24:250.36|2025-04-21:250.36|2025-05-19:250.36|2025-06-16:250.36|2025-07-14:250.36|2025-08-11:250.36|2025-09-08:250.36|2025-10-06:250.36|2025-11-03:250.36|2025-12-01:250.36|2025-12-29:250.36,2024-07-30,none,Use installments starting 2024-06-17.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Pay INR 60700 today.
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,Pay INR 50200 today.
request_79,2151.60,affordable_with_plan,installments,2024-09-11:120.90|2024-10-09:120.90|2024-11-06:120.90|2024-12-04:120.90|2025-01-01:120.90|2025-01-29:120.90|2025-02-26:120.90|2025-03-26:120.90|2025-04-23:120.90|2025-05-21:120.90|2025-06-18:120.90|2025-07-16:120.90|2025-08-13:120.90|2025-09-10:120.90|2025-10-08:120.90|2025-11-05:120.90|2025-12-03:120.90|2025-12-31:120.90|2026-01-28:120.90|2026-02-25:120.90|2026-03-25:120.90,2024-11-01,none,Use installments starting 2024-09-11.
request_80,217500,affordable_with_plan,installments,2025-02-20:15950|2025-03-22:15950|2025-04-21:15950|2025-05-21:15950|2025-06-20:15950|2025-07-20:15950|2025-08-19:15950|2025-09-18:15950|2025-10-18:15950|2025-11-17:15950|2025-12-17:15950|2026-01-16:15950|2026-02-15:15950|2026-03-17:15950|2026-04-16:15950,2025-02-21,none,Use installments starting 2025-02-20.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay USD 2076 today.
request_82,1405.20,affordable_with_plan,installments,2024-12-08:78.96|2025-01-05:78.96|2025-02-02:78.96|2025-03-02:78.96|2025-03-30:78.96|2025-04-27:78.96|2025-05-25:78.96|2025-06-22:78.96|2025-07-20:78.96|2025-08-17:78.96|2025-09-14:78.96|2025-10-12:78.96|2025-11-09:78.96|2025-12-07:78.96|2026-01-04:78.96|2026-02-01:78.96|2026-03-01:78.96|2026-03-29:78.96|2026-04-26:78.96|2026-05-24:78.96|2026-06-21:78.96,2025-02-15,none,Use installments starting 2024-12-08.
request_83,156200,affordable_later,wait,2025-06-17:156200,2025-06-17,none,Pay in full on 2025-06-17.
request_84,95400,affordable_with_plan,installments,2026-04-18:6042|2026-05-19:6042|2026-06-19:6042|2026-07-20:6042|2026-08-20:6042|2026-09-20:6042|2026-10-21:6042|2026-11-21:6042|2026-12-22:6042|2027-01-22:6042|2027-02-22:6042|2027-03-25:6042|2027-04-25:6042|2027-05-26:6042|2027-06-26:6042|2027-07-27:6042|2027-08-27:6042|2027-09-27:6042,2026-06-15,none,Use installments starting 2026-04-18.
request_85,19304000,affordable_later,wait,2024-04-26:19304000,2024-04-26,none,Pay in full on 2024-04-26.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay INR 46300 today.
request_87,487900,affordable_with_plan,installments,2026-01-12:30900.33|2026-02-12:30900.33|2026-03-15:30900.33|2026-04-15:30900.33|2026-05-16:30900.33|2026-06-16:30900.33|2026-07-17:30900.33|2026-08-17:30900.33|2026-09-17:30900.33|2026-10-18:30900.33|2026-11-18:30900.33|2026-12-19:30900.33|2027-01-19:30900.33|2027-02-19:30900.33|2027-03-22:30900.33|2027-04-22:30900.33|2027-05-23:30900.33|2027-06-23:30900.33,2026-03-15,none,Use installments starting 2026-01-12.
request_88,26092,affordable_with_plan,installments,2024-06-21:1466.12|2024-07-19:1466.12|2024-08-16:1466.12|2024-09-13:1466.12|2024-10-11:1466.12|2024-11-08:1466.12|2024-12-06:1466.12|2025-01-03:1466.12|2025-01-31:1466.12|2025-02-28:1466.12|2025-03-28:1466.12|2025-04-25:1466.12|2025-05-23:1466.12|2025-06-20:1466.12|2025-07-18:1466.12|2025-08-15:1466.12|2025-09-12:1466.12|2025-10-10:1466.12|2025-11-07:1466.12|2025-12-05:1466.12|2026-01-02:1466.12,2024-08-25,none,Use installments starting 2024-06-21.
request_89,13756000,affordable_now,full_payment,2025-11-04:13756000,2025-11-04,none,Pay IDR 13756000 today.
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 today.
request_91,1927.20,affordable_now,full_payment,2024-09-03:1927.20,2024-09-03,none,Pay EUR 1927.20 today.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Pay ZAR 34034 today.
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,Pay USD 1729.20 today.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today.
request_95,553000,affordable_with_plan,installments,2025-05-13:40553.33|2025-06-12:40553.33|2025-07-12:40553.33|2025-08-11:40553.33|2025-09-10:40553.33|2025-10-10:40553.33|2025-11-09:40553.33|2025-12-09:40553.33|2026-01-08:40553.33|2026-02-07:40553.33|2026-03-09:40553.33|2026-04-08:40553.33|2026-05-08:40553.33|2026-06-07:40553.33|2026-07-07:40553.33,2025-07-14,none,Use installments starting 2025-05-13.
request_96,90200,affordable_now,full_payment,2026-01-03:90200,2026-01-03,none,Pay INR 90200 today.
request_97,23496,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-05-24,none,Use installments starting 2024-03-19.
request_98,27148,affordable_with_plan,installments,2025-08-10:1990.85|2025-09-09:1990.85|2025-10-09:1990.85|2025-11-08:1990.85|2025-12-08:1990.85|2026-01-07:1990.85|2026-02-06:1990.85|2026-03-08:1990.85|2026-04-07:1990.85|2026-05-07:1990.85|2026-06-06:1990.85|2026-07-06:1990.85|2026-08-05:1990.85|2026-09-04:1990.85|2026-10-04:1990.85,2025-10-15,none,Use installments starting 2025-08-10.
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Pay ZAR 18062 today.
request_100,37114,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-08-16,none,Use installments starting 2024-06-13.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 today.
request_102,1716,affordable_now,full_payment,2026-04-05:1716,2026-04-05,none,Pay EUR 1716 today.
request_103,368300,affordable_later,wait,2024-10-07:368300,2024-10-07,none,Pay in full on 2024-10-07.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Pay ZAR 17204 today.
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Pay INR 53500 today.
request_106,2207.70,affordable_with_plan,installments,2024-12-06:124.05|2025-01-03:124.05|2025-01-31:124.05|2025-02-28:124.05|2025-03-28:124.05|2025-04-25:124.05|2025-05-23:124.05|2025-06-20:124.05|2025-07-18:124.05|2025-08-15:124.05|2025-09-12:124.05|2025-10-10:124.05|2025-11-07:124.05|2025-12-05:124.05|2026-01-02:124.05|2026-01-30:124.05|2026-02-27:124.05|2026-03-27:124.05|2026-04-24:124.05|2026-05-22:124.05|2026-06-19:124.05,2025-02-15,none,Use installments starting 2024-12-06.
request_107,2534.40,affordable_now,full_payment,2025-05-05:2534.40,2025-05-05,none,Pay EUR 2534.40 today.
request_108,55308,affordable_later,wait,2026-07-26:55308,2026-07-26,none,Pay in full on 2026-07-26.
request_109,1863.40,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-26,none,Use installments starting 2024-03-18.
request_110,22352,affordable_now,full_payment,2025-08-06:22352,2025-08-06,none,Pay ZAR 22352 today.
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 today.
request_112,271.70,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today.
request_113,36500,affordable_now,full_payment,2026-09-04:36500,2026-09-04,none,Pay INR 36500 today.
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,Pay INR 65300 today.
request_115,80500,affordable_with_plan,installments,2024-09-13:4523.33|2024-10-11:4523.33|2024-11-08:4523.33|2024-12-06:4523.33|2025-01-03:4523.33|2025-01-31:4523.33|2025-02-28:4523.33|2025-03-28:4523.33|2025-04-25:4523.33|2025-05-23:4523.33|2025-06-20:4523.33|2025-07-18:4523.33|2025-08-15:4523.33|2025-09-12:4523.33|2025-10-10:4523.33|2025-11-07:4523.33|2025-12-05:4523.33|2026-01-02:4523.33|2026-01-30:4523.33|2026-02-27:4523.33|2026-03-27:4523.33,2024-11-15,none,Use installments starting 2024-09-13.
request_116,241200,affordable_with_plan,installments,2025-02-17:17688|2025-03-19:17688|2025-04-18:17688|2025-05-18:17688|2025-06-17:17688|2025-07-17:17688|2025-08-16:17688|2025-09-15:17688|2025-10-15:17688|2025-11-14:17688|2025-12-14:17688|2026-01-13:17688|2026-02-12:17688|2026-03-14:17688|2026-04-13:17688,2025-04-16,none,Use installments starting 2025-02-17.
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Pay EUR 880 today.
request_118,738.10,affordable_now,full_payment,2024-12-07:738.10,2024-12-07,none,Pay EUR 738.10 today.
request_119,203500,affordable_with_plan,installments,2025-05-11:14923.33|2025-06-10:14923.33|2025-07-10:14923.33|2025-08-09:14923.33|2025-09-08:14923.33|2025-10-08:14923.33|2025-11-07:14923.33|2025-12-07:14923.33|2026-01-06:14923.33|2026-02-05:14923.33|2026-03-07:14923.33|2026-04-06:14923.33|2026-05-06:14923.33|2026-06-05:14923.33|2026-07-05:14923.33,2025-07-17,none,Use installments starting 2025-05-11.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 today.
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today.
request_122,20558000,affordable_now,full_payment,2025-08-05:20558000,2025-08-05,none,Pay IDR 20558000 today.
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay IDR 4076000 today.
request_124,3104.20,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-08-20,none,Use installments starting 2024-06-11.
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Pay ZAR 6468 today.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay INR 159600 today.
request_127,23980,affordable_now,full_payment,2024-09-05:23980,2024-09-05,none,Pay ZAR 23980 today.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168 today.
request_129,2668.80,affordable_later,wait,2026-06-18:2668.80,2026-06-18,none,Pay in full on 2026-06-18.
request_130,1978.80,affordable_with_plan,installments,2024-12-09:111.19|2025-01-06:111.19|2025-02-03:111.19|2025-03-03:111.19|2025-03-31:111.19|2025-04-28:111.19|2025-05-26:111.19|2025-06-23:111.19|2025-07-21:111.19|2025-08-18:111.19|2025-09-15:111.19|2025-10-13:111.19|2025-11-10:111.19|2025-12-08:111.19|2026-01-05:111.19|2026-02-02:111.19|2026-03-02:111.19|2026-03-30:111.19|2026-04-27:111.19|2026-05-25:111.19|2026-06-22:111.19,2025-02-15,none,Use installments starting 2024-12-09.
request_131,1855.20,affordable_now,full_payment,2025-05-03:1855.20,2025-05-03,none,Pay USD 1855.20 today.
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,Pay USD 379.86 today.
request_133,15770000,affordable_now,full_payment,2024-03-07:15770000,2024-03-07,none,Pay IDR 15770000 today.
request_134,21831000,affordable_with_plan,installments,2025-08-07:1600940|2025-09-06:1600940|2025-10-06:1600940|2025-11-05:1600940|2025-12-05:1600940|2026-01-04:1600940|2026-02-03:1600940|2026-03-05:1600940|2026-04-04:1600940|2026-05-04:1600940|2026-06-03:1600940|2026-07-03:1600940|2026-08-02:1600940|2026-09-01:1600940|2026-10-01:1600940,2025-10-15,none,Use installments starting 2025-08-07.
request_135,304.80,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,Pay USD 304.80 today.
request_136,560.40,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,Pay USD 560.40 today.
request_137,80100,affordable_with_plan,installments,2025-11-05:5874|2025-12-05:5874|2026-01-04:5874|2026-02-03:5874|2026-03-05:5874|2026-04-04:5874|2026-05-04:5874|2026-06-03:5874|2026-07-03:5874|2026-08-02:5874|2026-09-01:5874|2026-10-01:5874|2026-10-31:5874|2026-11-30:5874|2026-12-30:5874,2026-01-15,none,Use installments starting 2025-11-05.
request_138,1256.94,affordable_with_plan,installments,2026-04-12:333.09|2026-05-12:333.09|2026-06-11:333.09|2026-07-11:333.09,2026-06-05,none,Use installments starting 2026-04-12.
request_139,2316,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-11-17,none,Use installments starting 2024-09-07.
request_140,62832,affordable_later,wait,2025-03-04:62832,2025-03-04,none,Pay in full on 2025-03-04.
